Unnamed: 0,user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,class
12323,jose,1322837900,472326,02/12/2011 14:58,no,730,120.0,14.3,3.73,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.1,-0.16,-20,61,-161,29,599,-334,-42.5,29.7,-88.8,27,,,,,,,,,,,1.33,-0.95,1.39,-263,-45,-5,-233,254,607,,,,,,,,,,,,,,,,-106.4235202,-49.8601091,8.206879428,,,,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.26,-0.02,-35,-64,6,-466,411,-35.0,-47.8,38.4,-144.0,,,,,,,,,,,,,,,,46,,,,,,,,,,,0.02,1.25,0.31,-440,-75,17,-681,195.0,428.0,C
10820,javier,1322673102,62683,30/11/2011 17:11,no,462,0.84,5.27,-87.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,-0.02,-0.05,-20,-3,45,51,632,-304,0.0,0.0,0.0,34,,,,,,,,,,,-0.67,0.26,-0.15,-257,173,-110,-353,420,458,,,,,,,,,,,,,,,,51.15785323,-54.05037726,-78.0954455,,,,,,,,,,,,,,,,29,,,,,,,,,,,0.14,0.27,0.11,-144,137,-197,-543,276,90.0,155.0,32.4,167.0,,,,,,,,,,,,,,,,28,,,,,,,,,,,-0.14,-1.73,-0.54,-154,17,-228,-676,294.0,523.0,C
5089,jose,1322837834,828419,02/12/2011 14:57,no,772,118.0,17.4,-1.18,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.13,-0.15,-21,60,-159,26,603,-331,-64.8,-30.2,1.62,24,,,,,,,,,,,0.96,-0.77,0.84,142,-116,-155,732,-46,-46,,,,,,,,,,,,,,,,25.75954561,-33.37025162,114.2905926,,,,,,,,,,,,,,,,3,,,,,,,,,,,-0.18,0.21,0.21,-9,7,25,-494,369,-178.0,6.04,20.7,-120.0,,,,,,,,,,,,,,,,24,,,,,,,,,,,0.29,-1.64,-0.26,-205,107,19,-515,713.0,635.0,A
11018,javier,1322673110,374697,30/11/2011 17:11,no,470,0.81,5.11,-87.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,-11,2,43,59,630,-305,0.0,0.0,0.0,30,,,,,,,,,,,-3.48,1.67,-1.46,-222,196,-14,275,277,531,,,,,,,,,,,,,,,,61.0815703,-48.6692312,-73.76343556,,,,,,,,,,,,,,,,30,,,,,,,,,,,0.47,0.06,-0.54,-137,168,-197,-506,361,53.0,128.0,-16.1,89.8,,,,,,,,,,,,,,,,32,,,,,,,,,,,0.02,0.0,-0.05,205,163,-175,-11,679.0,741.0,C
16515,carlos,1323084346,424333,05/12/2011 11:25,no,37,-0.41,5.84,-91.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,-0.03,-0.62,-9,2,12,25,585,-353,157.0,-15.6,-101.0,49,,,,,,,,,,,1.64,-0.56,-0.33,-38,-98,-471,-1,-273,-515,,,,,,,,,,,,,,,,95.22739435,36.92960583,47.09993824,,,,,,,,,,,,,,,,10,,,,,,,,,,,-0.22,1.32,-0.07,35,79,44,-348,496,72.0,143.0,7.95,101.0,,,,,,,,,,,,,,,,44,,,,,,,,,,,0.18,-0.8,0.02,-44,393,-177,-344,746.0,567.0,E
19375,pedro,1323095079,140415,05/12/2011 14:24,no,821,138.0,20.3,26.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.1,-0.11,-48,80,-196,24,561,-422,94.2,6.74,-6.86,36,,,,,,,,,,,3.07,-2.76,0.15,329,-119,-65,753,-98,-17,,,,,,,,,,,,,,,,-75.18731418,-16.42750213,79.21538751,,,,,,,,,,,,,,,,11,,,,,,,,,,,0.06,0.37,-0.43,-17,-71,74,259,-695,-110.0,158.0,2.41,82.3,,,,,,,,,,,,,,,,44,,,,,,,,,,,-0.22,1.57,0.05,143,380,-159,-126,729.0,600.0,E
19499,carlos,1323084350,220395,05/12/2011 11:25,no,844,10.5,6.28,-92.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03,0.25,-13,12,-28,19,529,-450,152.0,-22.2,-90.4,49,,,,,,,,,,,-3.4,1.08,0.15,-66,-79,-473,160,-263,-519,,,,,,,,,,,,,,,,-129.3756488,-6.63845604,26.85599172,,,,,,,,,,,,,,,,3,,,,,,,,,,,-0.22,0.31,-0.07,-2,-29,8,-578,230,-17.0,146.0,0.18,88.3,,,,,,,,,,,,,,,,46,,,,,,,,,,,-0.26,2.81,0.52,96,407,-178,-204,739.0,538.0,E
17493,jose,1322837961,112286,02/12/2011 14:59,no,172,134.0,3.23,58.6,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,-0.03,-0.13,-47,60,-160,70,580,-377,-61.5,-12.9,-3.75,20,,,,,,,,,,,-1.77,0.06,0.46,109,-131,-106,728,-86,49,,,,,,,,,,,,,,,,-97.39046698,-56.62708018,16.84481995,,,,,,,,,,,,,,,,9,,,,,,,,,,,0.22,0.31,-0.3,-48,-74,15,-451,394,47.0,-43.9,50.0,-120.0,,,,,,,,,,,,,,,,28,,,,,,,,,,,0.67,-2.26,-0.51,-266,47,62,-680,464.0,565.0,E
13641,emilio,1322489685,478730,28/11/2011 14:14,no,279,-2.78,2.44,-88.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,0.0,0.0,-17,-27,20,30,596,-384,103.0,-39.5,-5.53,32,,,,,,,,,,,-1.25,-0.08,0.44,145,57,-269,731,-98,-93,,,,,,,,,,,,,,,,68.11196259,2.099031534,-88.92264578,,,,,,,,,,,,,,,,5,,,,,,,,,,,0.02,-0.08,-0.03,1,30,-37,-494,229,219.0,174.0,13.5,-21.0,,,,,,,,,,,,,,,,25,,,,,,,,,,,-0.5,-1.06,0.64,169,-56,165,510,-545.0,15.0,D
5302,emilio,1322489624,606677,28/11/2011 14:13,no,815,1.25,4.39,-87.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.0,-7,4,28,60,580,-429,67.9,15.4,81.5,27,,,,,,,,,,,1.4,-0.48,0.57,-197,168,-67,-186,266,619,,,,,,,,,,,,,,,,-84.69570726,-71.4990268,9.379605225,,,,,,,,,,,,,,,,2,,,,,,,,,,,0.05,-0.32,-0.26,-14,-16,2,-419,243,322.0,148.0,-8.7,120.0,,,,,,,,,,,,,,,,37,,,,,,,,,,,-0.42,-0.71,0.64,-53,279,221,-618,1140.0,-524.0,A
7668,roberto,1322832852,165529,02/12/2011 13:34,no,532,126.0,-44.6,166.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.11,-0.2,50,43,-158,168,608,-313,20.2,-13.9,-7.52,5,,,,,,,,,,,2.78,-1.19,-0.02,44,-20,7,631,168,277,,,,,,,,,,,,,,,,116.3989097,13.5990449,-38.08705801,,,,,,,,,,,,,,,,23,,,,,,,,,,,0.18,0.03,-0.26,31,210,-85,-218,539,155.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,52,,,,,,,,,,,1.73,-1.53,0.1,-50,508,21,-301,822.0,765.0,B
10994,javier,1322673109,530656,30/11/2011 17:11,no,469,0.31,5.43,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,-11,1,47,54,632,-301,0.0,0.0,0.0,14,,,,,,,,,,,2.49,-1.41,1.28,-26,126,-54,495,194,429,,,,,,,,,,,,,,,,40.31583476,-57.62655862,-83.46464016,,,,,,,,,,,,,,,,28,,,,,,,,,,,0.74,-0.13,-1.23,-150,108,-204,-548,270,68.0,130.0,-17.8,84.0,,,,,,,,,,,,,,,,32,,,,,,,,,,,-0.14,0.08,-0.02,206,168,-172,4,666.0,724.0,C
14210,carlos,1323084318,368384,05/12/2011 11:25,no,390,1.36,6.93,-93.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.02,-0.07,-16,5,20,-2,598,-316,65.6,-0.92,94.1,29,,,,,,,,,,,-2.38,0.85,-0.54,-239,157,2,-64,283,590,,,,,,,,,,,,,,,,74.9998823,12.05810323,80.63045762,,,,,,,,,,,,,,,,3,,,,,,,,,,,-0.05,-0.03,0.1,3,17,18,-527,332,3.0,-177.0,54.4,179.0,,,,,,,,,,,,,,,,29,,,,,,,,,,,-0.48,2.09,0.59,-192,131,-160,-686,211.0,548.0,D
127,carlos,1323084236,924328,05/12/2011 11:23,no,16,1.15,7.19,-94.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,-0.02,-19,4,23,-5,602,-306,-133.0,15.9,-163.0,34,,,,,,,,,,,0.02,-0.02,0.0,-287,110,-123,-366,331,521,,,,,,,,,,,,,,,,13.35451266,-70.63995378,-84.64918975,,,,,,,,,,,,,,,,37,,,,,,,,,,,-0.02,-0.02,0.0,-234,48,-270,-555,295,-73.0,21.4,-63.7,-145.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,0.02,0.0,-0.02,192,205,-214,-9,658.0,476.0,A
8719,jose,1322837873,36490,02/12/2011 14:57,no,765,117.0,16.5,-6.22,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.13,-0.18,-19,65,-161,16,591,-311,-40.2,2.95,-56.2,13,,,,,,,,,,,2.6,-1.09,0.49,-108,-45,57,317,193,566,,,,,,,,,,,,,,,,91.39534214,17.91394808,62.37017162,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.16,-0.48,-0.03,18,80,59,-373,495,-58.0,13.7,27.4,-109.0,,,,,,,,,,,,,,,,27,,,,,,,,,,,0.69,-2.5,-0.18,-189,180,27,-452,753.0,646.0,B
2676,carlos,1323084243,4307,05/12/2011 11:24,no,326,1.79,7.22,-94.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,0.0,-0.03,-19,4,18,-3,603,-308,-139.0,8.55,-168.0,34,,,,,,,,,,,0.02,-0.02,-0.02,-288,110,-123,-366,335,510,,,,,,,,,,,,,,,,100.9145739,8.766851766,55.31117825,,,,,,,,,,,,,,,,3,,,,,,,,,,,-0.11,-0.06,0.18,3,29,18,-518,347,-3.0,13.7,-64.2,-139.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.02,0.02,-0.03,196,199,-212,-11,660.0,481.0,A
10128,emilio,1322489683,254663,28/11/2011 14:14,no,276,1.37,2.85,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.0,0.02,-7,3,24,44,563,-443,76.0,-0.66,104.0,31,,,,,,,,,,,-2.55,0.77,-0.16,-223,206,-32,-168,311,606,,,,,,,,,,,,,,,,79.59474693,-26.28439994,-70.70184753,,,,,,,,,,,,,,,,2,,,,,,,,,,,0.21,0.24,0.25,-4,11,-10,-473,195,280.0,-176.0,7.7,73.7,,,,,,,,,,,,,,,,44,,,,,,,,,,,-0.02,3.53,0.33,27,381,206,-28,596.0,-260.0,C
13664,emilio,1322489686,346633,28/11/2011 14:14,no,280,3.68,1.44,-84.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,-0.16,-0.75,2,5,-6,89,502,-505,74.9,9.57,122.0,31,,,,,,,,,,,0.72,-0.14,0.25,-239,155,-95,-424,279,521,,,,,,,,,,,,,,,,-29.84989316,-37.64348721,-108.0636325,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.61,-0.03,-0.67,-5,-4,-12,-498,136,264.0,-174.0,5.71,117.0,,,,,,,,,,,,,,,,37,,,,,,,,,,,0.35,-0.8,-0.2,-115,280,208,-771,1170.0,-530.0,D
13870,emilio,1322489699,170643,28/11/2011 14:14,no,288,-4.73,-4.62,-79.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,-0.19,-0.97,-2,2,-11,51,533,-468,94.2,-25.7,24.1,14,,,,,,,,,,,-4.42,1.38,-0.52,-22,129,-52,706,-29,162,,,,,,,,,,,,,,,,66.71044102,22.05982383,85.49360915,,,,,,,,,,,,,,,,14,,,,,,,,,,,-0.21,0.63,-0.03,29,82,100,-191,306,422.0,177.0,9.72,-40.8,,,,,,,,,,,,,,,,22,,,,,,,,,,,-0.51,4.32,1.1,68,24,199,446,-758.0,79.0,D
17168,jose,1322837946,664349,02/12/2011 14:59,no,158,136.0,13.5,38.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,0.16,0.56,-18,56,-191,36,564,-386,-46.1,9.39,-65.3,22,,,,,,,,,,,2.67,-1.17,1.13,-196,-57,55,157,155,633,,,,,,,,,,,,,,,,-97.52840904,-58.03584159,-11.85433406,,,,,,,,,,,,,,,,9,,,,,,,,,,,0.0,-0.08,-0.1,-51,-77,-11,-484,393,-48.0,-65.1,23.4,-179.0,,,,,,,,,,,,,,,,45,,,,,,,,,,,-0.48,2.23,0.2,-422,-139,-10,-580,-129.0,162.0,E
14690,javier,1322673136,662787,30/11/2011 17:12,no,492,0.38,5.1,-88.3,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.02,-16,1,46,49,634,-308,0.0,0.0,0.0,13,,,,,,,,,,,-2.79,1.3,-0.9,25,129,-2,651,43,323,,,,,,,,,,,,,,,,73.97614906,-48.5853019,-60.92990619,,,,,,,,,,,,,,,,29,,,,,,,,,,,0.22,-0.26,0.02,-133,192,-163,-416,415,121.0,148.0,26.7,129.0,,,,,,,,,,,,,,,,34,,,,,,,,,,,0.02,-0.11,-0.02,-134,245,-179,-624,566.0,645.0,D
17465,jose,1322837959,804313,02/12/2011 14:59,no,170,133.0,6.64,54.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.18,-0.03,-21,62,-160,59,594,-326,-55.3,-3.17,-46.6,12,,,,,,,,,,,2.86,-1.24,1.31,-62,-82,56,460,61,496,,,,,,,,,,,,,,,,-118.7666371,-37.79382712,-5.987442118,,,,,,,,,,,,,,,,10,,,,,,,,,,,-0.03,-0.11,0.11,-37,-93,-6,-437,433,-39.0,-54.1,47.6,-141.0,,,,,,,,,,,,,,,,32,,,,,,,,,,,-0.67,3.13,0.1,-309,-10,35,-685,344.0,478.0,E
2821,carlos,1323084248,520439,05/12/2011 11:24,no,331,0.98,7.66,-93.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,-0.02,-0.02,-19,2,24,5,606,-303,-144.0,1.84,-173.0,34,,,,,,,,,,,0.02,-0.03,0.0,-290,108,-124,-373,334,515,,,,,,,,,,,,,,,,-147.3655702,5.382520559,8.078667593,,,,,,,,,,,,,,,,4,,,,,,,,,,,-0.02,-0.26,-0.07,2,-37,3,-518,355,-56.0,-4.32,42.5,76.7,,,,,,,,,,,,,,,,31,,,,,,,,,,,-0.4,-0.85,-0.39,-137,-184,-194,-224,-485.0,215.0,A
